date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
2018-01-28,608.8,614.4000000000001,613.6,616.0,608.0,604.8,609.6,607.2,613.5999999999999,620.0,604.8,608.8,658.4000000000001,671.2,676.0,668.0,674.4,653.6,661.6,668.0,659.2,648.0,645.5999999999999,644.8,641.5999999999999,665.6,656.8,650.4,639.2,656.0,658.4,664.0,652.0,672.0,672.8,691.2,701.5999999999999,687.2,687.2,680.8,665.5999999999999,682.4000000000001,677.5999999999999,672.8,644.0,647.2,640.8,651.2,3
2018-01-29,652.0,651.2,642.4000000000001,641.5999999999999,650.4,644.0,647.2,645.5999999999999,639.2,646.4,655.2,667.2,724.0,751.2,784.8,838.4000000000001,893.5999999999999,959.2,1016.0,996.8,1013.6,1041.6,1021.6,1021.6,1064.8,1033.6,1032.0,1036.8,1037.6,1009.5999999999999,1013.6,1020.0,991.2,975.2,961.6,915.2,881.5999999999999,840.0,802.4000000000001,792.8,740.0,722.4000000000001,716.0,700.8,663.2,676.0,667.2,674.4,0
2018-01-30,662.4,641.5999999999999,651.2,660.0,650.4,669.6,659.2,647.2,652.0,659.2,662.4000000000001,687.2,714.4,738.4,763.2,827.2,896.0,977.5999999999999,1044.8000000000002,1098.4,1128.8000000000002,1108.8000000000002,1136.8000000000002,1121.6,1117.6,1096.0,1076.0,1090.4,1104.8000000000002,1048.8,1040.8000000000002,1038.4,1015.1999999999999,992.8,952.8,910.4,861.6,841.6,815.2,776.0,741.6,720.8,709.5999999999999,704.8,668.8,668.0,665.6,668.8,0
2018-01-31,669.6,658.4000000000001,662.4,652.0,664.0,664.0,658.4,664.8,653.5999999999999,662.4,676.0,692.8,734.4,754.4000000000001,796.8,820.0,894.4,993.6,1028.8,1067.2,1102.4,1131.1999999999998,1112.8,1084.0,1098.4,1078.4,1071.2,1067.2,1097.6,1067.2,1037.6,1047.2,1008.8,991.2,964.8,915.2,869.6,825.5999999999999,795.2,790.4000000000001,752.0,731.2,724.0,708.0,675.2,668.8,663.2,664.8,0
2018-02-01,664.0,659.2,669.5999999999999,655.2,660.0,666.4,655.2,667.2,660.8,660.0,667.2,671.2,714.4000000000001,735.2,777.6,790.4,892.8,960.8,1047.1999999999998,1051.2,1044.0,1058.4,1067.2,1057.6,1089.6,1074.4,1097.6,1063.2,1038.4,1009.5999999999999,1015.1999999999999,997.6,976.8,960.0,922.4000000000001,887.2,841.6,808.8,771.2,744.8,711.2,699.2,706.4000000000001,695.2,650.4,648.8,649.6,648.0,0
2018-02-02,654.4000000000001,652.0,641.6,637.6,651.2,648.8,635.2,652.0,651.2,636.0,640.8,663.2,717.5999999999999,734.4,754.4000000000001,748.8,839.2,960.0,1027.2,1082.4,1104.8000000000002,1126.4,1162.4,1144.0,1150.4,1139.2,1127.2,1087.2,1093.6,1036.0,1044.8,1033.6,988.0,977.6,935.2,900.0,858.4000000000001,832.8,816.8,785.5999999999999,765.6,751.2,755.2,760.0,709.5999999999999,710.4,700.8,700.0,0
2018-02-03,687.2,691.2,686.4,690.4000000000001,695.2,691.2,683.2,684.0,682.4,684.0,682.4000000000001,684.0,733.6,745.6,760.8,753.5999999999999,745.6,734.4,752.8,749.6,765.5999999999999,745.6,764.0,759.2,758.4000000000001,769.6,741.5999999999999,746.4,738.4000000000001,738.4,742.4000000000001,742.4000000000001,750.4,733.6,744.8,749.5999999999999,744.8,744.0,732.0,732.8,736.0,727.2,717.6,715.2,675.2,674.4,683.2,671.2,0
2018-02-04,680.0,669.6,676.8,672.0,684.8,676.0,674.4000000000001,679.2,680.0,695.2,687.2,691.2,735.2,746.4000000000001,732.0,740.8,724.8,713.6,715.2,711.2,710.4000000000001,713.6,688.0,700.0,692.0,688.0,692.8,681.6,675.2,684.8,680.0,690.4,687.2,684.8,696.8,720.0,720.8,719.2,697.6,704.0,712.0,704.8,713.6,703.2,672.8,661.5999999999999,664.0,667.2,0
2018-02-05,679.2,675.2,678.4,670.4,678.4000000000001,683.2,675.2,688.8,677.6,688.0,702.4,719.2,756.8,789.5999999999999,797.5999999999999,827.2,932.0,1005.5999999999999,1063.2,1088.0,1103.1999999999998,1101.6,1088.8000000000002,1039.2,1049.6,1049.6,1032.0,1026.4,1032.8000000000002,984.8,996.8,999.2,987.2,977.5999999999999,949.6,928.8,880.8,852.8,818.4000000000001,804.0,753.6,743.2,744.8,740.8,713.5999999999999,691.2,700.0,696.0,0
2018-02-06,704.8,693.6,710.4,693.6,692.0,694.4000000000001,700.8,713.5999999999999,713.6,701.5999999999999,713.5999999999999,719.2,780.8,803.2,803.2,836.0,900.0,980.0,1051.2,1069.6,1075.1999999999998,1074.4,1058.4,1056.8000000000002,1054.4,1056.0,1020.0,1029.6,1024.8,1011.2,1041.6,1030.4,1006.4000000000001,999.2,977.5999999999999,940.0,899.2,871.2,846.4,814.4,760.8,761.5999999999999,740.8,752.8,705.6,713.5999999999999,700.0,712.0,1
